,0,1,2,3,4,5,6,7,8,9,10
0,"1a Description of property, Stock or Other Symbol, CUSIP",,,,,,,,,,
1,Action,Quantity,"1b Date
Acquired","1c Date Sold
or Disposed",1d Proceeds,"1e Cost or
Other Basis (b)","1f Accrued
Market","1g Wash Sale
Loss",Gain/Loss (-),"4 Federal
Income Tax","14 State
16 State Tax"
2,,,,,,,Discount,Disallowed,,Withheld,Withheld
3,"RHEINMETALL AG UNSP ADR EACH REPR 0.2 OR, RNMBY, 76206K107",,,,,,,,,,
4,Sale,3,03/18/25,05/02/25,1072.02,934.01,138.01,,,,
5,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,,,,,,,,,,
6,"UNITED STATES TREAS SER AC-2025 0.25000%, 91282CAJ0",,,,,,,,,,
7,Redemption,12000,12/31/24,09/02/25,12000,11692.56,307.44,307.44,,,
8,- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,,,,,,,,,,
9,"WESTERN ALLIANCE BANCORP, WAL, 957638109",,,,,,,,,,
